
2024/03/06 (23:40:34) | ===> btop++ v.1.3.2
2024/03/06 (23:40:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/06 (23:40:34) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/30 (21:53:56) | ===> btop++ v.1.3.2
2024/03/30 (21:53:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/30 (21:53:56) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/30 (21:54:34) | ===> btop++ v.1.3.2
2024/03/30 (21:54:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/30 (21:54:34) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/14 (21:20:30) | ===> btop++ v.1.3.2
2024/04/14 (21:20:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/14 (21:20:30) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/15 (20:29:11) | ===> btop++ v.1.3.2
2024/04/15 (20:29:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/15 (20:29:12) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/15 (20:46:46) | ===> btop++ v.1.3.2
2024/04/15 (20:46:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/15 (20:46:46) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/16 (17:16:58) | ===> btop++ v.1.3.2
2024/04/16 (17:16:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/16 (17:16:58) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/06 (14:47:11) | ===> btop++ v.1.3.2
2024/05/06 (14:47:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/06 (14:47:11) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/06 (14:51:28) | ===> btop++ v.1.3.2
2024/05/06 (14:51:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/06 (14:51:28) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/30 (23:35:41) | ===> btop++ v.1.3.2
2024/05/30 (23:35:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/30 (23:35:41) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/05/31 (06:21:10) | ERROR: Stall in Runner thread, restarting!
2024/05/31 (06:21:12) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/05/31 (06:21:13) | WARNING: Error in Mem::collect() : std::future_error: No associated state

2024/08/30 (20:58:25) | ===> btop++ v.1.3.2
2024/08/30 (20:58:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/30 (20:58:25) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/30 (20:59:56) | ===> btop++ v.1.3.2
2024/08/30 (20:59:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/30 (20:59:56) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/30 (21:07:06) | ===> btop++ v.1.3.2
2024/08/30 (21:07:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/30 (21:07:06) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/30 (21:37:36) | ===> btop++ v.1.3.2
2024/08/30 (21:37:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/30 (21:37:36) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/30 (21:38:32) | ===> btop++ v.1.3.2
2024/08/30 (21:38:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/30 (21:38:32) | WARNING: NVML: Failed to get GPU power usage: Not Supported
